county,auction_source,item_id,parcel_id,property_type,address,city,zip,opening_bid,assessed_value,assessed_estimated,default_date,has_situs_address,source_status,opening_bin,historical_sold_rate,historical_bin_samples,competition_multiplier,market_factor,estimated_market_value,estimated_winning_bid,buyer_premium,estimated_transfer_tax,estimated_recording_fee,estimated_total_cost,gross_upside,estimated_roi_pct,default_age_years,risk_penalty,confidence_score,liquidity_factor,hidden_gem_score,recommended_max_bid,risk_flags,recommended_property,rank,latitude,longitude,geocoded_address,geocode_source
San Diego,San Diego 2026,318,4760211102,Improved Property,3519 VAN DYKE AVE #02 SAN DIEGO CA 92105-3470,San Diego,92105.0,8000.0,94128.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.03,96951.84,23131.1320754717,756.5566037735852,25.444245283018873,12.0,23925.132924528305,73026.7070754717,305.2300996856905,0.0,8.0,92.0,1.0,98.4,74159.9,,True,1,32.742536733881,-117.103244358348,"3519 VAN DYKE AVE, SAN DIEGO, CA, 92105",cache
San Diego,San Diego 2026,332,4906313100,Improved Property,8332 CASE ST LA MESA CA 91942-2919,La Mesa,91942.0,128000.0,2070844.0,False,,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.03,2132969.32,265018.8108108108,6850.940540540541,291.52069189189194,12.0,272173.2720432433,1860796.0479567563,683.6806692984572,0.0,8.0,92.0,1.0,98.4,1629496.2,,True,2,32.774083520691,-117.019908477611,"8332 CASE ST, LA MESA, CA, 91942",cache
San Diego,San Diego 2026,342,5171215700,Improved Property,1702 LAYNE PL EL CAJON CA 92019-4265,El Cajon,92019.0,91000.0,792092.0,False,,True,ACTIVE,20k-100k,0.9285714285714286,13,2.204889975550122,1.03,815854.76,200644.9877750611,5482.249388753055,220.70948655256723,12.0,206359.9466503667,609494.8133496332,295.35519040538094,0.0,8.0,92.0,1.0,98.4,625270.49,,True,3,32.761415896065,-116.912693272324,"1702 LAYNE PL, EL CAJON, CA, 92019",cache
San Diego,San Diego 2026,331,4906312700,Unimproved property,CASE ST LA MESA CA 91942,La Mesa,91942.0,64000.0,1069557.0,False,,True,ACTIVE,20k-100k,0.9285714285714286,13,2.204889975550122,1.0,1069557.0,141112.9584352078,3855.6479217603905,155.2242542787286,12.0,145135.83061124693,924421.1693887532,636.935183748566,0.0,8.0,92.0,0.9,88.56,817080.77,,True,4,,,,cache
San Diego,San Diego 2026,203,2771500100,Unimproved property,EAGLES CREST RD RAMONA CA 92065,Ramona,92065.0,52000.0,812407.0,False,,True,ACTIVE,20k-100k,0.9285714285714286,13,2.204889975550122,1.0,812407.0,114654.27872860635,3132.713936430318,126.119706601467,12.0,117925.11237163814,694481.8876283618,588.9177238514889,0.0,8.0,92.0,0.9,88.56,620791.17,,True,5,,,,cache
San Diego,San Diego 2026,363,5461000500,Unimproved property,J ST,San Diego,92102.0,103900.0,796478.0,False,,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,796478.0,215120.73783783783,5561.036891891892,236.63281162162164,12.0,220930.4075413513,575547.5924586486,260.5108092017274,0.0,8.0,92.0,0.9,87.20220789082336,611136.33,,True,6,,,,cache
San Diego,San Diego 2026,223,2952104700,Unimproved property,WINDFALL TRL JULIAN CA 92036,Julian,92036.0,4000.0,26426.0,False,,True,ACTIVE,1k-5k,0.2251748251748251,161,1.6346153846153846,1.0,26426.0,6538.461538461538,126.9230769230769,7.1923076923076925,12.0,6684.576923076923,19741.42307692308,295.32793629422497,0.0,16.0,84.0,0.9,86.25840251642016,20291.88,low-historical-sellthrough-bin,True,7,,,,cache
San Diego,San Diego 2026,222,2952104600,Unimproved property,WINDFALL TRL JULIAN CA 92036,Julian,92036.0,4000.0,25939.0,False,,True,ACTIVE,1k-5k,0.2251748251748251,161,1.6346153846153846,1.0,25939.0,6538.461538461538,126.9230769230769,7.1923076923076925,12.0,6684.576923076923,19254.42307692308,288.0425088751949,0.0,16.0,84.0,0.9,86.1810298288714,19921.23,low-historical-sellthrough-bin,True,8,,,,cache
San Diego,San Diego 2026,344,5211202900,Unimproved property,18772 LAWSON HILLS RD JAMUL CA 91935-2605,Jamul,91935.0,20300.0,154522.0,False,,True,ACTIVE,20k-100k,0.9285714285714286,13,2.204889975550122,1.0,154522.0,44759.26650366748,1222.963325183374,49.235193154034235,12.0,46043.465022004886,108478.53497799512,235.60028535244152,0.0,0.0,100.0,0.9,85.72729797807135,118562.08,,True,9,32.759383298897,-116.745175359096,"18772 LAWSON HILLS RD, JAMUL, CA, 91935",cache
San Diego,San Diego 2026,55,1413503900,Unimproved property,2083 TREBUCHET DR BORREGO SPRINGS CA 92004-4222,Borrego Springs,92004.0,2100.0,16000.0,False,,True,ACTIVE,1k-5k,0.2251748251748251,161,1.6346153846153846,1.0,16000.0,3432.6923076923076,66.63461538461539,3.7759615384615386,12.0,3515.1028846153845,12484.897115384616,355.17871098531697,0.0,16.0,84.0,0.9,84.83910507911128,12266.2,low-historical-sellthrough-bin,False,10,33.27107643388,-116.390710008242,"2083 TREBUCHET DR, BORREGO SPRINGS, CA, 92004",cache
San Diego,San Diego 2026,210,2912420800,Unimproved property,MANZANITA DR JULIAN CA,Julian,92036.0,2000.0,13878.0,False,,True,ACTIVE,1k-5k,0.2251748251748251,161,1.6346153846153846,1.0,13878.0,3269.230769230769,63.46153846153845,3.5961538461538463,12.0,3348.2884615384614,10529.71153846154,314.4804176645933,0.0,16.0,84.0,0.9,84.31154574288831,10646.37,low-historical-sellthrough-bin,False,11,,,,cache
